date,title,description,coding
2024-11-25,California has a plan to fight back if Trump ends EV tax credit: rebates,"Donald Trump vowed to end federal EV tax credits, which are worth up to $7,500 for new EVs.",
2024-11-25,"LGBTQ+ youth group sounds alarm over Linda McMahon nomination, foresees education rollbacks under Trump","President-elect Donald Trump has been nominating controversial people to his second-term cabinet and it hasn’t been pretty. GLSEN, an organization that advocates for safe and inclusive schools for LGBTQ+ youth, has strongly criticized Trump’s nomination…",
2024-11-25,Elon Musk Taught Himself to Code. Now It's Your Turn,"Elon Musk Taught Himself to Code. Now It's Your Turn. This early Black Friday deal comes with everything you need for $56.Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepr…",
2024-11-25,BIG BIT THOUGHTS.,"BIG BIT THOUGHTS. I don’t think I know any human being on the planet who doesn’t want to be rich, or tries to increase their worth their net worth etc. Doesn’t matter if you’re an investor, work for a charity, a church etc. Money and capital are critical, it …",
2024-11-25,"Elon Musk slams ‘idiots’ making costly, manned F-35 fighter jets as he prepares to slash costs","The Tesla and SpaceX founder slammed the “idiots” who continue to build manned fighter jets like the F-35 in a post on X, adding a trash can emoji.",
2024-11-25,"After Trump’s Project 2025 denials, he is tapping its authors and influencers for key roles","Before an about-face, Trump had hailed what would become Project 2025 as a conservative roadmap for “exactly what our movement will do.""",
2024-11-25,It’s Official: Trump Now Has Hottest Cabinet Of All Time,"PALM BEACH, FL — Less than one month after the presidential election and still eight weeks away from his inauguration, experts have already confirmed that President-Elect Donald Trump now has the hottest cabinet of all time.",
2024-11-25,Wall Street bitterly divided over whether Elon Musk can make DOGE succeed,"“A lot of bankers, they’re like dancing in the streets,” JPMorgan CEO Jamie Dimon recently said, but not everyone’s celebrating.",
2024-11-25,Ernst pitches DOGE on spending cuts and savings,Sen. Joni Ernst is pitching President-elect Donald Trump’s so-called Department of Government Efficiency on more than $2 trillion proposed cuts or savings— the latest example of GOP lawmakers embracing the commission. Ernst (R-Iowa) sent a letter on Monday t…,
2024-11-25,Neil deGrasse Tyson Slams Elon Musk's Plans for Mars Colonization,"""I don’t see it happening until governments judge that it’s geopolitically in our interest.""Um, ActuallyFamed astrophysicist and science fiction pedant Neil deGrasse Tyson doesn't think very highly of multi-hyphenate billionaire Elon Musk's desperate desire…",
2024-11-25,What TikTok’s CEO Asking Elon Musk For Trump Advice Could Mean for the Future of Business,"Facing an impending TikTok ban in the U.S., Chew Shou Zi has sought advice from a man who has the ear of President elect Trump.",
2024-11-25,‘Never Wished To Create A Dynasty’: Warren Buffett Donates $1.1 Billion In Berkshire Stock And Updates Will,"“Tomorrow’s decisions are likely to be better made by three live and well-directed brains than by a dead hand,” wrote Buffett, whose lifetime giving of over $60 billion makes him likely the most prolific philanthropist ever.",
2024-11-25,Elon Musk says he’s throttling tweets with links in them because they’re “lazy”,,
2024-11-25,‘Accountability Is Coming’: Joni Ernst Sends Musk’s DOGE ‘A Trillion Dollars’ Worth Of Ideas To Gut Gov’t Spending,Republican Sen. Joni Ernst of Iowa says she gave Elon Musk and Vivek Ramaswamy ideas for cuts that could save over $2 trillion in a letter sent Monday.,
2024-11-25,$10B in Gov't Contracts Get Extra Attention...,But many of the changes he may want have been underway before a Trump administration.,
2024-11-25,China Bestsellers: Reading the New Nobel Laureate,The Chinese readership in October honored the South Korean 2024 Nobel laureate Han King by placing 'The Vegetarian' on the fiction list.The post China Bestsellers: Reading the New Nobel Laureate appeared first on Publishing Perspectives.,
2024-11-25,"Warren Buffett just published a mini letter about his plans to give his billions away, his kids — and how lucky he's been","Warren Buffett said he's gifting $1.2 billion of stock to his family's foundations, and appointed three potential trustees to disperse his wealth.",
2024-11-25,"Good Morning, News: New Seasons Pre-Thanksgiving Strike, Beware Busy Holiday Travel, and Will Dipshit Elon Musk Buy MSNBC?","by Wm. Steven Humphrey    If you’re reading this, you probably know the value of the Mercury’s news reporting, arts and culture coverage, event calendar, and the bevy of events we host throughout the year. The work we do helps our city shine, but we can’t…",
2024-11-25,At the Movies,"I don’t know about any of you, but my moviegoing habits have changed completely since the pandemic. Out of the fortysomething movies I’ve watched this year, maybe four or five were in a movie theater, and this weekend I had what was probably my last theatrica…",
2024-11-25,"CNN’s Fareed Zakaria praises Elon Musk, Vivek Ramaswamy, says DOGE may deliver a ‘central Republican promise’",CNN anchor Fareed Zakaria said Elon Musk and Vivek Ramaswamy may finally deliver on a Republican promise to slash federal spending.,
2024-11-25,SpaceX Aims for 25 Starship Launches in 2025,This would be a big uptick from the five annual launches it's currently allowed.,
2024-11-25,Right-Wingers Are Fantasizing About Elon Musk Buying MSNBC,"Elon Musk has been teasing that he could buy MSNBC, causing right-wingers to fantasize about the left-leaning network becoming a MAGA megaphone.",
2024-11-25,"Elon Musk floats buying MSNBC, but he’s not the only billionaire who may be interested","Elon Musk has called MSNBC “the utter scum of the Earth.” He has said the channel “peddles puerile propaganda.” Just a few days ago he said, “MSNBC is going down.” And now he is posting memes about buying the channel.Conventional wisdom holds that Musk — the…",
2024-11-25,Inside Elon Musk’s timeworn legal strategy of spending and grinding adversaries into submission,Elon Musk’s go-to legal strategy for the many lawsuits he and his sprawling business empire have filed over the years can be summed up in a few words: Spend and intimidate opponents into submission.The billionaire uses his deep pockets to drag out cases unti…,
2024-11-25,Tesla Faces Environmental Violations As Elon Musk's 'DOGE' Prepares For 'Garbage Collection Of Rules That Don't Make Sense:' Report,"A recent report revealed the environmental violations at Tesla Inc. TSLA’s Austin and Freemont plants amid Elon Musk being announced as the co-head of a new Department of Government Efficiency, dubbed “DOGE,” aimed at reducing regulations.What Happened: Acco…",
2024-11-25,Colby Hall Mocks ‘Edgelord’ Elon Musk Joking About Buying MSNBC: ‘Causing a LOT of Anxiety’ for ‘Freaked Out’ MSNBC Staff,"Mediaite founding editor Coby Hall says Elon Musk has been stirring the pot more vigorously than usual lately in an effort to ""freak out"" left-wing mediaThe post Colby Hall Mocks ‘Edgelord’ Elon Musk Joking About Buying MSNBC: ‘Causing a LOT of Anxiety’ for …",
2024-11-25,"In response to a tweet claiming X deprioritized posts with links in them, Elon Musk said to ""put the link in the reply. This just stops lazy linking"" (David Gilmour/Mediaite)","David Gilmour / Mediaite:In response to a tweet claiming X deprioritized posts with links in them, Elon Musk said to “put the link in the reply. This just stops lazy linking”  —  Elon Musk confirmed that posts containing links in their main text are depriori…",
2024-11-25,"California could offer electric vehicle rebates if Trump eliminates tax credit, Newsom says","California could offer state tax rebates for electric vehicle purchases if the incoming Trump administration eliminates the $7,500 federal EV tax credit",
2024-11-25,FACT CHECK: Did Elon Musk Ban Robert De Niro From X?,A post shared on social media purports that X CEO Elon Musk banned actor Robert De Niro from the platform. Verdict: False The claim stems from satire. Fact Check: Musk and Vivek Ramaswamy have indicated some of the funding the Department of Government Efficie…,
